,index,LOCODE,Name,NameWoDiacritics,SubDiv,Function,Status,Date,Coordinates,Latitude,Longitude
0,34,IN ALF,Alleppey,Alleppey,KL,1-------,AA,212.0,0929N 07619E,9.29,76.19
1,44,IN AIS,Amini Island,Amini Island,LD,1-------,RQ,901.0,1107N 07244E,11.07,72.44
2,76,IN ATU,Attur,Attur,TN,1----6--,RL,1807.0,1244N 07957E,12.44,79.57
3,106,IN BPT,Bangarapet,Bangarapet,KA,123-----,RL,601.0,1259N 07811E,12.59,78.11
4,148,IN BDH,Bhadohi,Bhadohi,UP,12---6--,RL,701.0,2525N 08234E,25.25,82.34
5,153,IN BRU,Bharuch,Bharuch,GJ,123-----,RL,1101.0,2142N 07258E,21.42,72.58
6,156,IN BHU,Bhavnagar,Bhavnagar,GJ,1234----,AA,207.0,2146N 07208E,21.46,72.08
7,229,IN MAA,Chennai (ex Madras),Chennai (ex Madras),TN,12345---,AA,407.0,1305N 08017E,13.05,80.17
8,252,IN COK,Cochin,Cochin,KL,1234-6--,AA,307.0,0958N 07614E,9.58,76.14
9,309,IN DMA,Dhamara,Dhamara,OR,123-----,RL,1301.0,2048N 08654E,20.48,86.54
10,310,IN DMQ,Dhamra Port,Dhamra Port,OR,1-------,RL,1401.0,2049N 08657E,20.49,86.57
11,330,IN DIG,Dighi (Pune),Dighi (Pune),MH,1-3--6--,AA,501.0,1815N 07258E,18.15,72.58
12,361,IN EKM,Ernakulam,Ernakulam,KL,1-3-----,RL,1401.0,0959N 07617E,9.59,76.17
13,362,IN ERO,Erode,Erode,TN,1-3-----,RL,701.0,1121N 07744E,11.21,77.44
14,388,IN GAN,Gandhar,Gandhar,,1-------,RQ,401.0,2105N 07238E,21.05,72.38
15,392,IN GGV,Gangavaram,Gangavaram,AP,1-------,RL,901.0,1739N 08315E,17.39,83.15
16,395,IN GRR,Garden Reach,Garden Reach,WB,123-----,RL,1401.0,2231N 08818E,22.31,88.18
17,427,IN GND,Greater Nodia,Greater Nodia,UP,123-----,RQ,1001.0,2849N 07753E,28.49,77.53
18,428,IN GNO,Greater Noida,Greater Noida,UP,1-------,RQ,1701.0,2828N 07731E,28.28,77.31
19,459,IN HZA,Hazira Port/Surat,Hazira Port/Surat,GJ,1-------,RL,1207.0,2105N 07237E,21.05,72.37
20,517,IN JBD,Jafarabad,Jafarabad,GJ,1-3-----,AA,207.0,2051N 07122E,20.51,71.22
21,536,IN IXJ,Jammu,Jammu,JK,1234-6--,AI,701.0,3242N 07451E,32.42,74.51
22,556,IN JDG,Jodhpur,Jodhpur,GJ,1----6--,RL,1107.0,2153N 07002E,21.53,70.02
23,580,IN KPI,Kalpeni Island,Kalpeni Island,LD,1-------,RQ,901.0,1004N 07338E,10.04,73.38
24,589,IN IXY,Kandla,Kandla,GJ,1234-6--,AA,307.0,2302N 07013E,23.02,70.13
