,index,LOCODE,Name,NameWoDiacritics,SubDiv,Function,Status,Date,Coordinates,Latitude,Longitude
0,3,IN ABU,Abu Road,Abu Road,RJ,-23-----,RL,1207.0,2429N 07247E,24.29,72.47
1,21,IN AMD,Ahmedabad,Ahmedabad,GJ,-234-6--,AA,407.0,2302N 07237E,23.02,72.37
2,22,IN MUM,Ahmednagar,Ahmednagar,MH,-23-----,RL,701.0,1905N 07444E,19.05,74.44
3,31,IN APR,Alipore,Alipore,WB,-23-----,RL,1401.0,2231N 08819E,22.31,88.19
4,52,IN ADE,Andheri East,Andheri East,MH,-23-----,RL,1401.0,1907N 07250E,19.07,72.5
5,57,IN AKV,Ankleshwar,Ankleshwar,GJ,-23--6--,RL,507.0,2136N 07300E,21.36,73.0
6,105,IN BLR,Bangalore,Bangalore,KA,-234-6--,AA,501.0,1259N 07735E,12.59,77.35
7,106,IN BPT,Bangarapet,Bangarapet,KA,123-----,RL,601.0,1259N 07811E,12.59,78.11
8,108,IN BKR,Bankura,Bankura,WB,-23-----,RL,1407.0,2315N 08704E,23.15,87.04
9,114,IN BAE,Bardhaman,Bardhaman,WB,-23-----,RL,1907.0,2314N 08752E,23.14,87.52
10,118,IN BAC,Bari,Bari,HR,-23--6--,AM,2101.0,2907N 07702E,29.07,77.02
11,119,IN BBH,Bari Brahmana,Bari Brahmana,JK,-23-----,RL,1207.0,3238N 07455E,32.38,74.55
12,121,IN BAR,Barnala,Barnala,PB,-23-----,RL,1207.0,3023N 07533E,30.23,75.33
13,123,IN UPH,Barotiwala,Barotiwala,UP,-23-----,RL,1407.0,3026N 07747E,30.26,77.47
14,127,IN JUX,Basni,Basni,RJ,-23--6--,RN,407.0,2614N 07301E,26.14,73.01
15,148,IN BDH,Bhadohi,Bhadohi,UP,12---6--,RL,701.0,2525N 08234E,25.25,82.34
16,153,IN BRU,Bharuch,Bharuch,GJ,123-----,RL,1101.0,2142N 07258E,21.42,72.58
17,156,IN BHU,Bhavnagar,Bhavnagar,GJ,1234----,AA,207.0,2146N 07208E,21.46,72.08
18,162,IN BHI,Bhilai,Bhilai,MP,-23-----,RL,701.0,2113N 08126E,21.13,81.26
19,218,IN CSM,Chanasma,Chanasma,GJ,-23-----,RL,1407.0,2343N 07207E,23.43,72.07
20,223,IN CRB,Changrabandha,Changrabandha,WB,-23----B,AA,207.0,2625N 08855E,26.25,88.55
21,225,IN CSI,Chattrapati Shivaji International Apt,Chattrapati Shivaji International Apt,MH,-234----,RL,701.0,1905N 07252E,19.05,72.52
22,229,IN MAA,Chennai (ex Madras),Chennai (ex Madras),TN,12345---,AA,407.0,1305N 08017E,13.05,80.17
23,235,IN CDM,Chidambaram,Chidambaram,TN,-23-----,RL,701.0,1124N 07942E,11.24,79.42
24,240,IN CST,Chinchwad Station,Chinchwad Station,MH,-23--6--,RQ,1001.0,1838N 07347E,18.38,73.47
25,246,IN CHT,Chittoor,Chittoor,AP,-23-----,RL,701.0,1312N 07906E,13.12,79.06
26,248,IN CHS,Cholapuram,Cholapuram,TN,-23-----,RL,901.0,0922N 07735E,9.22,77.35
27,252,IN COK,Cochin,Cochin,KL,1234-6--,AA,307.0,0958N 07614E,9.58,76.14
28,273,IN DRI,Dadri,Dadri,UP,-23-----,RL,407.0,2834N 07733E,28.34,77.33
29,309,IN DMA,Dhamara,Dhamara,OR,123-----,RL,1301.0,2048N 08654E,20.48,86.54
30,353,IN EDP,Edappally,Edappally,KL,-23-----,RL,1401.0,0958N 07616E,9.58,76.16
31,368,IN FLT,Falta,Falta,WB,-23--6--,RL,307.0,2217N 08806E,22.17,88.06
32,385,IN GUJ,Gajraula,Gajraula,UP,-23-----,RL,901.0,2851N 07814E,28.51,78.14
33,389,IN GIN,Gandhidham,Gandhidham,GJ,-23--6--,AA,501.0,2305N 07008E,23.05,70.08
34,395,IN GRR,Garden Reach,Garden Reach,WB,123-----,RL,1401.0,2231N 08818E,22.31,88.18
35,405,IN GZB,Ghaziabad,Ghaziabad,UP,-23-----,RL,901.0,2840N 07726E,28.4,77.26
36,417,IN GAH,Godhra,Godhra,GJ,-23-----,RL,701.0,2245N 07338E,22.45,73.38
37,423,IN GPP,Gopalpur,Gopalpur,HR,-23-----,AA,1601.0,2827N 07657E,28.27,76.57
38,425,IN GOP,Gorakhpur,Gorakhpur,UP,-234----,AI,207.0,2645N 08321E,26.45,83.21
39,427,IN GND,Greater Nodia,Greater Nodia,UP,123-----,RQ,1001.0,2849N 07753E,28.49,77.53
40,431,IN GUD,Güdür,Gudur,,-23-----,RL,207.0,1408N 07950E,14.08,79.5
41,441,IN GGN,Gurgaon,Gurgaon,HR,-23-----,RL,1501.0,2828N 07702E,28.28,77.02
42,444,IN GWL,Gwalior,Gwalior,MP,-234-6--,AI,501.0,2613N 07810E,26.13,78.1
43,465,IN HNG,Himatnagar,Himatnagar,GJ,-23-----,AA,1901.0,2336N 07257E,23.36,72.57
44,481,IN HOW,Howrah,Howrah,WB,-23-----,RL,1207.0,2236N 08816E,22.36,88.16
45,524,IN JAI,Jaipur,Jaipur,RJ,-234-6--,AA,407.0,2655N 07549E,26.55,75.49
46,536,IN IXJ,Jammu,Jammu,JK,1234-6--,AI,701.0,3242N 07451E,32.42,74.51
47,538,IN IXW,Jamshedpur,Jamshedpur,JH,-234----,AI,1401.0,2248N 08611E,22.48,86.11
48,575,IN KRA,Kakrala,Kakrala,PB,-23-----,RL,1207.0,3022N 07606E,30.22,76.06
49,585,IN KKP,Kanakapura,Kanakapura,KA,-23-----,RQ,1901.0,1233N 07725E,12.33,77.25
50,587,IN KCP,Kanchipuram,Kanchipuram,TN,-23-----,RL,901.0,1250N 07943E,12.5,79.43
51,589,IN IXY,Kandla,Kandla,GJ,1234-6--,AA,307.0,2302N 07013E,23.02,70.13
52,611,IN KAR,Karur,Karur,TN,123--6--,AA,501.0,1057N 07805E,10.57,78.05
53,620,IN KAT,Kattupalli,Kattupalli,TN,123-----,RL,1201.0,1318N 08021E,13.18,80.21
54,621,IN KTP,Kattupalli Port,Kattupalli Port,TN,123-----,RL,1207.0,1318N 08023E,13.18,80.23
55,693,IN CCJ,Kozhikode (ex Calicut),Kozhikode (ex Calicut),KL,1234----,AA,207.0,1115N 07546E,11.15,75.46
56,694,IN KBC,Kril ICD,Kril ICD,GJ,-23--6--,RL,1207.0,2111N 07242E,21.11,72.42
57,715,IN LAL,Lalru,Lalru,PB,-2------,RL,507.0,3029N 07648E,30.29,76.48
58,731,IN LON,Loni,Loni,UP,-23-----,RL,907.0,2845N 07716E,28.45,77.16
59,732,IN LKH,Loni Kalbhor,Loni Kalbhor,MH,-23--6--,RL,901.0,1827N 07402E,18.27,74.02
60,741,IN MRG,Madgaon,Madgaon,GA,-2---6--,AA,212.0,1518N 07357E,15.18,73.57
61,747,IN MAG,Magadi,Magadi,KA,-23-----,RQ,1901.0,1258N 07714E,12.58,77.14
62,752,IN MAH,Mahe,Mahe,PY,123-----,AA,501.0,1142N 07532E,11.42,75.32
63,763,IN MWA,Maliwada,Maliwada,MH,-23-----,RL,701.0,1955N 07513E,19.55,75.13
64,764,IN MLY,Maliya,Maliya,GJ,-23-----,AM,2107.0,2305N 07046E,23.05,70.46
65,785,IN MRM,Marmagao (Marmugao),Marmagao (Marmugao),GA,123-----,AA,207.0,1524N 07347E,15.24,73.47
66,786,IN MRM,Marmugao (Marmagao),Marmugao (Marmagao),GA,123-----,AA,207.0,1524N 07347E,15.24,73.47
67,813,IN MOR,Moradabad,Moradabad,UP,-23--6--,AA,501.0,2850N 07847E,28.5,78.47
68,827,IN BOM,Mumbai (ex Bombay),Mumbai (ex Bombay),MH,123456--,AA,501.0,1858N 07249E,18.58,72.49
69,831,IN MUG,Munger,Munger,BR,123-----,RL,601.0,2523N 08628E,25.23,86.28
70,855,IN NMK,Namkum,Namkum,JH,-23-----,RL,1401.0,2321N 08522E,23.21,85.22
71,877,IN ICD,New Delhi,New Delhi,DL,123--6--,RL,407.0,2836N 07712E,28.36,77.12
72,918,IN PAL,Palghat,Palghat,KL,-23-----,RL,701.0,1047N 07639E,10.47,76.39
73,932,IN NOL,Panoli,Panoli,GJ,-23-----,RL,1207.0,2132N 07258E,21.32,72.58
74,935,IN PRT,Paradip Garh,Paradip Garh,OR,123-----,AA,307.0,2019N 08637E,20.19,86.37
75,964,IN PAV,Pipavav (Victor) Port,Pipavav (Victor) Port,GJ,123-----,AA,701.0,2058N 07133E,20.58,71.33
76,967,IN PBH,Piyala Block Hut,Piyala Block Hut,HR,-23-----,RL,2001.0,2827N 07731E,28.27,77.31
77,968,IN POL,Pollachi,Pollachi,TN,-23-----,AM,2101.0,1040N 07701E,10.4,77.01
78,1005,IN RGJ,Raiganj Railway Station Lcs,Raiganj Railway Station Lcs,WB,-2------,AA,1907.0,2537N 08807E,25.37,88.07
79,1017,IN RAJ,Rajkot,Rajkot,GJ,-234-6--,AI,407.0,2217N 07047E,22.17,70.47
80,1029,IN RMT,Ramtek,Ramtek,MH,-23-----,RL,1407.0,2124N 07920E,21.24,79.2
81,1031,IN RNM,Ranasthalam,Ranasthalam,AP,-23-----,RL,1207.0,1812N 08341E,18.12,83.41
82,1032,IN IXR,Ranchi,Ranchi,BR,-234----,AI,207.0,2321N 08520E,23.21,85.2
83,1043,IN RGN,Renigunta,Renigunta,AP,-23-----,RL,1207.0,1339N 07931E,13.39,79.31
84,1044,IN RKO,Renukoot,Renukoot,UP,-23-----,RL,1807.0,2413N 08302E,24.13,83.02
85,1069,IN SHB,Sahibabad,Sahibabad,UP,-23-----,RL,1401.0,2841N 07724E,28.41,77.24
86,1075,IN SAM,Samalkot,Samalkot,AP,123--6--,RL,1207.0,1703N 08211E,17.03,82.11
87,1128,IN SIK,Sika,Sika,GJ,123-----,AA,207.0,2226N 06950E,22.26,69.5
88,1133,IN SIL,Siliguri,Siliguri,WB,123-----,RL,701.0,2643N 08825E,26.43,88.25
89,1166,IN SON,Sonipat,Sonipat,HR,-23-----,RL,1301.0,2859N 07701E,28.59,77.01
90,1186,IN STV,Surat,Surat,GJ,1234-6--,AI,307.0,2110N 07250E,21.1,72.5
91,1202,IN TT8,Tarn Taran,Tarn Taran,PB,-2------,RL,1301.0,3127N 07455E,31.27,74.55
92,1214,IN THN,Thane,Thane,MH,123-----,RL,701.0,1912N 07258E,19.12,72.58
93,1217,IN TRV,Thiruvananthapuram (ex Trivandrum),Thiruvananthapuram (ex Trivandrum),KL,-234----,AI,1207.0,0829N 07655E,8.29,76.55
94,1236,IN TRL,Tiruvallur,Tiruvallur,TN,-23--6--,RL,1207.0,1309N 07955E,13.09,79.55
95,1245,IN TDE,Tudiyalür,Tudiyalur,TN,-23--6--,RN,407.0,1105N 07657E,11.05,76.57
96,1246,IN TKD,Tughlakabad,Tughlakabad,DL,-23--6--,AA,212.0,2830N 07716E,28.3,77.16
97,1251,IN TUT,Tuticorin,Tuticorin,TN,123--6--,AA,501.0,0847N 07808E,8.47,78.08
98,1263,IN URA,Uran,Uran,MH,123-----,RL,901.0,1853N 07256E,18.53,72.56
99,1267,IN BDQ,Vadodara,Vadodara,GJ,1234----,AI,1207.0,2218N 07312E,22.18,73.12
100,1274,IN VPI,Vapi,Vapi,GJ,-23-----,AA,1101.0,2022N 07254E,20.22,72.54
101,1298,IN VTZ,Visakhapatnam,Visakhapatnam,AP,1234-6--,AA,307.0,1742N 08318E,17.42,83.18
