,index,LOCODE,Name,NameWoDiacritics,SubDiv,Function,Status,Date,Coordinates,Latitude,Longitude
0,2,IN ABH,Abohar,Abohar,PB,--3-----,RL,1207.0,3009N 07411E,30.09,74.11
1,3,IN ABU,Abu Road,Abu Road,RJ,-23-----,RL,1207.0,2429N 07247E,24.29,72.47
2,4,IN ACK,Acharapakkam,Acharapakkam,TN,--3-----,AA,1601.0,1223N 07948E,12.23,79.48
3,7,IN AKM,Adakamaranahalli,Adakamaranahalli,KA,--3-----,RL,1401.0,1304N 07726E,13.04,77.26
4,10,IN ABD,Adilabad,Adilabad,AP,--3-----,RL,1301.0,1940N 07832E,19.4,78.32
5,12,IN ADP,Adipur,Adipur,JK,--3-----,RL,1301.0,3416N 07429E,34.16,74.29
6,15,IN CJA,AEIP SEZ/Kancheepuram,AEIP SEZ/Kancheepuram,TN,--3--6--,AA,1207.0,1250N 07943E,12.5,79.43
7,20,IN AGA,Agucha,Agucha,RJ,--3-----,RL,1401.0,2549N 07443E,25.49,74.43
8,21,IN AMD,Ahmedabad,Ahmedabad,GJ,-234-6--,AA,407.0,2302N 07237E,23.02,72.37
9,22,IN MUM,Ahmednagar,Ahmednagar,MH,-23-----,RL,701.0,1905N 07444E,19.05,74.44
10,25,IN AJI,Ajmer,Ajmer,RJ,--3-----,RL,1201.0,2627N 07438E,26.27,74.38
11,28,IN AGU,Alangulam,Alangulam,TN,--3-----,RL,1207.0,0852N 07730E,8.52,77.3
12,30,IN ALG,Aligarh,Aligarh,UP,--3-----,RL,1201.0,2753N 07804E,27.53,78.04
13,31,IN APR,Alipore,Alipore,WB,-23-----,RL,1401.0,2231N 08819E,22.31,88.19
14,32,IN ALI,Alirajpur,Alirajpur,MP,--3-----,RL,1201.0,2218N 07421E,22.18,74.21
15,35,IN IXV,Along Apt,Along Apt,AR,--34----,RL,901.0,2810N 09446E,28.1,94.46
16,37,IN ALW,Alwar,Alwar,RJ,--3--6--,RL,1201.0,2734N 07636E,27.34,76.36
17,41,IN ABN,Ambernath,Ambernath,,--3-----,RL,1107.0,1912N 07311E,19.12,73.11
18,42,IN AMT,Amethi,Amethi,UP,--3-----,AA,1601.0,2609N 08149E,26.09,81.49
19,47,IN ANA,Ana,Ana,RJ,--3-----,RL,1201.0,2517N 07329E,25.17,73.29
20,48,IN QNB,Anand,Anand,GJ,--3-----,RL,907.0,2234N 07556E,22.34,75.56
21,52,IN ADE,Andheri East,Andheri East,MH,-23-----,RL,1401.0,1907N 07250E,19.07,72.5
22,55,IN ANO,Angul,Angul,OR,--3-----,RL,1201.0,2051N 08506E,20.51,85.06
23,57,IN AKV,Ankleshwar,Ankleshwar,GJ,-23--6--,RL,507.0,2136N 07300E,21.36,73.0
24,58,IN ANU,Anuppur,Anuppur,MP,--3-----,RL,1201.0,2306N 08141E,23.06,81.41
25,66,IN ARK,Arakkonam,Arakkonam,TN,--3-----,RL,501.0,1306N 07940E,13.06,79.4
